rsa_model,condition,jsd_rsa_human,jsd_rsa_llm,jsd_llm_human
base,High-arg,0.22653438733304182,0.37011163857219337,0.14240486614593528
base,Low-arg,0.14066077266330548,0.5117516495371615,0.4570535011638789
lr,High-arg,0.12706883580381625,0.25317873534157764,0.14240486614593528
lr,Low-arg,0.08997162434547334,0.5525094138461324,0.4570535011638789
prag,High-arg,0.12783944838884326,0.25412824394339345,0.14240486614593528
prag,Low-arg,0.09060412791120145,0.5522584117178354,0.4570535011638789
maximin,High-arg,0.08430250890610488,0.21471671325693706,0.14240486614593528
maximin,Low-arg,0.050922037713048776,0.503155586122163,0.4570535011638789
nonparametric,High-arg,0.09851611740939892,0.20727123015451993,0.14240486614593528
nonparametric,Low-arg,0.06346226331098949,0.4846461637429298,0.4570535011638789
